DMC_COLOR,COLOR_NAME,RGB_COLOR,R,G,B
169,PewterGray,#827d7d,130,125,125
356,TerraCotta-MED,#be5c4b,190,92,75
208,Lavender-VYDK,#9442a7,148,66,167
367,PistachioGreen-DK,#446b45,68,107,69
209,Lavender-DK,#ba72c6,186,114,198
368,PistachioGreen-LT,#7fc66d,127,198,109
210,Lavender-MED,#d49fe1,212,159,225
369,PistachioGreen-VYLT,#cdefa6,205,239,166
211,Lavender-LT,#e5bded,229,189,237
370,Mustard-MED,#917245,145,114,69
221,ShellPink-VYDK,#792631,121,38,49
371,Mustard,#9f8352,159,131,82
223,ShellPink-LT,#bb6864,187,104,100
372,Mustard-LT,#ad9564,173,149,100
224,ShellPink-VYLT,#e2a598,226,165,152
400,Mahogany-DK,#813718,129,55,24
225,ShellPink-ULTVYLT,#f8d9cd,248,217,205
402,Mahogany-VYLT,#ef9e74,239,158,116
300,Mahogany-VYDK,#6c3116,108,49,22
407,DesertSand-DK,#b77159,183,113,89
301,Mahogany-MED,#aa5237,170,82,55
413,PewterGray-DK,#4a4749,74,71,73
304,Red-MED,#a10c39,161,12,57
414,SteelGray-DK,#766e72,118,110,114
307,Lemon,#fde949,253,233,73
415,PearlGray,#b8b9bd,184,185,189
309,Rose-DK,#ba2044,186,32,68
420,HazelnutBrown-DK,#855a30,133,90,48
310,Black,#000000,0,0,0
422,HazelnutBrown-LT,#c99a67,201,154,103
311,Blue-MED,#002a64,0,42,100
433,Brown-MED,#73421e,115,66,30
312,BabyBlue-VYDK,#1f3279,31,50,121
434,Brown-LT,#8f5332,143,83,50
435,Brown-VYLT,#a96538,169,101,56
600,Cranberry-VYDK,#bf1c48,191,28,72
436,Tan,#c78559,199,133,89
601,Cranberry-DK,#c62a53,198,42,83
437,Tan-LT,#daa26f,218,162,111
602,Cranberry-MED,#d63f68,214,63,104
444,Lemon-DK,#f5bc13,245,188,19
603,Cranberry,#ed5d84,237,93,132
445,Lemon-LT,#fcf999,252,249,153
604,Cranberry-LT,#f793b2,247,147,178
451,ShellGray-DK,#887773,136,119,115
605,Cranberry-VYLT,#fbacc4,251,172,196
452,ShellGray-MED,#ad9994,173,153,148
606,Orange-red-BRIGHT,#f70f00,247,15,0
453,ShellGray-LT,#ccb8aa,204,184,170
608,Orange-BRIGHT,#fd480c,253,72,12
469,AvocadoGreen,#5b6533,91,101,51
610,DrabBrown-DK,#6b5039,107,80,57
470,AvocadoGreen-LT,#72813e,114,129,62
611,DrabBrown,#7c5f46,124,95,70
471,AvocadoGreen-VYLT,#9eb357,158,179,87
612,DrabBrown-LT,#a6885e,166,136,94
472,AvocadoGreen-ULTLT,#d1de75,209,222,117
613,DrabBrown-VYLT,#b99f72,185,159,114
498,Red-DK,#970b2c,151,11,44
632,DesertSand-ULTVYDK,#7f4232,127,66,50
500,BlueGreen-VYDK,#1d362a,29,54,42
640,BeigeGray-VYDK,#817868,129,120,104
501,BlueGreen-DK,#2f5446,47,84,70
642,BeigeGray-DK,#958d79,149,141,121
502,BlueGreen,#57826e,87,130,110
644,BeigeGray-MED,#c4bea6,196,190,166
503,BlueGreen-MED,#89b89f,137,184,159
645,BeaverGray-VYDK,#5d5d54,93,93,84
504,BlueGreen-VYLT,#acdac1,172,218,193
646,BeaverGray-DK,#6b6860,107,104,96
505,GrassGreen-DK,#ceddc1,206,221,193
647,BeaverGray-MED,#908e85,144,142,133
517,Wedgewood-DK,#216285,33,98,133
648,BeaverGray-LT,#a7a69f,167,166,159
518,Wedgewood-LT,#50819c,80,129,156
666,Red-BRIGHT,#ce1b33,206,27,51
519,SkyBlue,#94b7cb,148,183,203
676,OldGold-LT,#ecbf7d,236,191,125
520,FernGreen-DK,#384526,56,69,38
677,OldGold-VYLT,#f2dc9f,242,220,159
522,FernGreen,#808b6e,128,139,110
680,OldGold-DK,#b07b46,176,123,70
523,FernGreen-LT,#959f7a,149,159,122
699,Green,#075b26,7,91,38
524,FernGreen-VYLT,#aea78e,174,167,142
700,Green-BRIGHT,#076c34,7,108,52
535,AshGray-VYLT,#4b4b49,75,75,73
701,Green-LT,#217c36,33,124,54
543,BeigeBrown-ULTVYLT,#ead0b5,234,208,181
702,KellyGreen,#379130,55,145,48
550,Violet-VYDK,#580e5c,88,14,92
703,Chartreuse,#63b330,99,179,48
552,Violet-MED,#902f99,144,47,153
704,Chartreuse-BRIGHT,#88c53a,136,197,58
553,Violet,#a449ac,164,73,172
712,Cream,#f6efda,246,239,218
554,Violet-LT,#dc9cde,220,156,222
718,Plum,#cb2089,203,32,137
561,Jade-VYDK,#285e48,40,94,72
720,OrangeSpice-DK,#c83a24,200,58,36
562,Jade-MED,#3b8c5a,59,140,90
721,OrangeSpice-MED,#f46440,244,100,64
563,Jade-LT,#6ed39a,110,211,154
722,OrangeSpice-LT,#f98756,249,135,86
564,Jade-VYLT,#95e4af,149,228,175
725,Topaz,#f9c15b,249,193,91
580,MossGreen-DK,#355f0b,53,95,11
726,Topaz-LT,#fddb63,253,219,99
581,MossGreen,#838a29,131,138,41
727,Topaz-VYLT,#fde98b,253,233,139
597,Turquoise,#52adab,82,173,171
728,GoldenYellow,#f2ae3f,242,174,63
598,Turquoise-LT,#97d8d3,151,216,211
729,OldGold-MED,#ce9657,206,150,87
730,OliveGreen-VYDK,#63520b,99,82,11
803,Blue-DEEP,#202754,32,39,84
731,OliveGreen-DK,#6b580b,107,88,11
806,PeacockBlue-DK,#1d6c87,29,108,135
732,OliveGreen,#725c0c,114,92,12
807,PeacockBlue,#558b9e,85,139,158
733,OliveGreen-MED,#a78a44,167,138,68
809,DelftBlue,#919fd5,145,159,213
734,OliveGreen-LT,#bb9c54,187,156,84
813,Blue-LT,#7fa0c6,127,160,198
738,Tan-VYLT,#e2b783,226,183,131
814,Garnet-DK,#711033,113,16,51
739,Tan-ULTVYLT,#f2deb9,242,222,185
815,Garnet-MED,#800b34,128,11,52
740,Tangerine,#fd6f1a,253,111,26
816,Garnet,#921238,146,18,56
741,Tangerine-MED,#fc8b10,252,139,16
817,CoralRed-VYDK,#bb1630,187,22,48
742,Tangerine-LT,#fdae3c,253,174,60
818,BabyPink,#fededd,254,222,221
743,Yellow-MED,#fdd769,253,215,105
819,BabyPink-LT,#fcebde,252,235,222
744,Yellow-PALE,#fee88d,254,232,141
820,RoyalBlue-VYDK,#151264,21,18,100
745,Yellow-LTPALE,#feeba5,254,235,165
822,BeigeGray-LT,#e8dfc7,232,223,199
746,OffWhite,#faf2d5,250,242,213
823,Blue-DK,#000b44,0,11,68
747,SkyBlue-VYLT,#cee9ea,206,233,234
824,Blue-VYDK,#284779,40,71,121
754,Peach-LT,#f7c9b0,247,201,176
825,Blue-DK,#34588f,52,88,143
758,TerraCotta-VYLT,#e99f83,233,159,131
826,Blue-MED,#5075a7,80,117,167
760,Salmon,#ec8880,236,136,128
827,Blue-VYLT,#a4c1de,164,193,222
761,Salmon-LT,#f8b4ad,248,180,173
828,Blue-ULTVYLT,#c3d7e6,195,215,230
762,PearlGray-VYLT,#d1d0d2,209,208,210
829,GoldenOlive-VYDK,#64480c,100,72,12
772,YellowGreen-VYLT,#d7efa7,215,239,167
830,GoldenOlive-DK,#6e501d,110,80,29
775,BabyBlue-VYLT,#d4e3ef,212,227,239
831,GoldenOlive-MED,#7c5f20,124,95,32
776,Pink-MED,#fca8ad,252,168,173
832,GoldenOlive,#9c7230,156,114,48
777,Red-DEEP,#9b0042,155,0,66
833,GoldenOlive-LT,#b99956,185,153,86
778,AntiqueMauve-VYLT,#dca6a4,220,166,164
834,GoldenOlive-VYLT,#d2b468,210,180,104
779,Brown,#53332d,83,51,45
838,BeigeBrown-VYDK,#4a3021,74,48,33
780,Topaz-ULTVYDK,#945026,148,80,38
839,BeigeBrown-DK,#5a3c2d,90,60,45
781,Topaz-VYDK,#a25f1f,162,95,31
840,BeigeBrown-MED,#7a5939,122,89,57
782,Topaz-DK,#b26923,178,105,35
841,BeigeBrown-LT,#a37d64,163,125,100
783,Topaz-MED,#d0883d,208,136,61
842,BeigeBrown-VYLT,#cbb094,203,176,148
791,CornflowerBlue-VYDK,#2d2068,45,32,104
844,BeaverGray-ULTDK,#494842,73,72,66
792,CornflowerBlue-DK,#454b8b,69,75,139
868,HazelNutBrown,#995c30,153,92,48
793,CornflowerBlue-MED,#7c82b5,124,130,181
869,HazelnutBrown-VYDK,#784c28,120,76,40
794,CornflowerBlue-LT,#a0b2d7,160,178,215
890,PistachioGreen-ULTDK,#324233,50,66,51
796,RoyalBlue-DK,#272276,39,34,118
891,Carnation-DK,#ee3246,238,50,70
797,RoyalBlue,#2b3288,43,50,136
892,Carnation-MED,#f44753,244,71,83
798,DelftBlue-DK,#4e5ca7,78,92,167
893,Carnation-LT,#f66879,246,104,121
799,DelftBlue-MED,#6b7fc0,107,127,192
894,Carnation-VYLT,#fd95a3,253,149,163
800,DelftBlue-PALE,#b5c7e9,181,199,233
895,HunterGreen-VYDK,#344b2e,52,75,46
801,CoffeeBrown-DK,#60391d,96,57,29
898,CoffeeBrown-VYDK,#532f1b,83,47,27
899,Rose-MED,#ea6b78,234,107,120
955,NileGreen-LT,#a8ebad,168,235,173
900,BurntOrange-DK,#c63117,198,49,23
956,Geranium,#f7566d,247,86,109
902,Garnet-VYDK,#651329,101,19,41
957,Geranium-PALE,#fd99af,253,153,175
904,ParrotGreen-VYDK,#386324,56,99,36
958,Seagreen-DK,#0db294,13,178,148
905,ParrotGreen-DK,#467924,70,121,36
959,Seagreen-MED,#72d0b7,114,208,183
906,ParrotGreen-MED,#6c9e29,108,158,41
961,DustyRose-DK,#de586c,222,88,108
907,ParrotGreen-LT,#9dc72d,157,199,45
962,DustyRose-MED,#eb7183,235,113,131
909,EmeraldGreen-VYDK,#106b43,16,107,67
963,DustyRose-ULTVYLT,#fdccd1,253,204,209
910,EmeraldGreen-DK,#10814e,16,129,78
964,Seagreen-LT,#a5e4d4,165,228,212
911,EmeraldGreen-MED,#109256,16,146,86
966,BabyGreen-MED,#94d28a,148,210,138
912,EmeraldGreen-LT,#36b26b,54,178,107
967,Peach-LT,#ffc2ac,255,194,172
913,NileGreen-MED,#55ca7d,85,202,125
970,Pumpkin-LT,#fb6721,251,103,33
915,Plum-DK,#95085a,149,8,90
971,Pumpkin,#fc670d,252,103,13
917,Plum-MED,#ac1071,172,16,113
972,Canary-DEEP,#fb9f11,251,159,17
918,RedCopper-DK,#883630,136,54,48
973,Canary-BRIGHT,#fccd2d,252,205,45
919,RedCopper,#9b371b,155,55,27
975,GoldenBrown-DK,#813c11,129,60,17
920,Copper-MED,#ab4836,171,72,54
976,GoldenBrown-MED,#cf7532,207,117,50
921,Copper,#c0573d,192,87,61
977,GoldenBrown-LT,#ec8f43,236,143,67
922,Copper-LT,#dd6e4c,221,110,76
986,ForestGreen-VYDK,#2e5230,46,82,48
924,GrayGreen-VYDK,#384a4a,56,74,74
987,ForestGreen-DK,#436838,67,104,56
926,GrayGreen-MED,#617674,97,118,116
988,ForestGreen-MED,#66924a,102,146,74
927,GrayGreen-LT,#9fa8a5,159,168,165
989,ForestGreen,#71a74e,113,167,78
928,GrayGreen-VYLT,#c0c6c0,192,198,192
991,Aquamarine-DK,#135f55,19,95,85
930,AntiqueBlue-DK,#495c6b,73,92,107
992,Aquamarine-LT,#42b59e,66,181,158
931,AntiqueBlue-MED,#667684,102,118,132
993,Aquamarine-VYLT,#62d8b6,98,216,182
932,AntiqueBlue-LT,#93a0af,147,160,175
995,ElectricBlue-DK,#0061b0,0,97,176
934,AvocadoGreen-BLACK,#323324,50,51,36
996,ElectricBlue-MED,#49a8eb,73,168,235
935,AvocadoGreen-DK,#383a2a,56,58,42
3011,KhakiGreen-DK,#655935,101,89,53
936,AvocadoGreen-VYDK,#3f4227,63,66,39
3012,KhakiGreen-MED,#8b7b4e,139,123,78
937,AvocadoGreen-MED,#434f2c,67,79,44
3013,KhakiGreen-LT,#afa97b,175,169,123
938,CoffeeBrown-ULTDK,#45271a,69,39,26
3021,BrownGray-VYDK,#50403b,80,64,59
939,Blue-VYDK,#09092f,9,9,47
3022,BrownGray-MED,#848274,132,130,116
943,Aquamarine-MED,#009a77,0,154,119
3023,BrownGray-LT,#a29b86,162,155,134
945,Tawny,#f6c19a,246,193,154
3024,BrownGray-VYLT,#beb8ac,190,184,172
946,BurntOrange-MED,#ed4115,237,65,21
3031,MochaBrown-VYDK,#423014,66,48,20
947,BurntOrange,#fc4f16,252,79,22
3032,MochaBrown-MED,#9d8868,157,136,104
948,Peach-VYLT,#fde6d3,253,230,211
3033,MochaBrown-VYLT,#dbc7ad,219,199,173
950,DesertSand-LT,#e5ac8d,229,172,141
3041,AntiqueViolet-MED,#866a76,134,106,118
951,Tawny-LT,#faddb6,250,221,182
3042,AntiqueViolet-LT,#af98a0,175,152,160
954,NileGreen,#6fda8a,111,218,138
3045,YellowBeige-DK,#af8152,175,129,82
3046,YellowBeige-MED,#ceb074,206,176,116
3731,DustyRose-VYDK,#c34c5c,195,76,92
3047,YellowBeige-LT,#ead8ab,234,216,171
3733,DustyRose,#ea7e86,234,126,134
3051,GreenGray-DK,#4c4c1e,76,76,30
3740,AntiqueViolet-DK,#71535d,113,83,93
3052,GreenGray-MED,#787e5c,120,126,92
3743,AntiqueViolet-VYLT,#cfc2c9,207,194,201
3053,GreenGray,#999d75,153,157,117
3746,BlueViolet-DK,#844ab5,132,74,181
3064,DesertSand,#ba7056,186,112,86
3747,BlueViolet-VYLT,#d0c5ec,208,197,236
3072,BeaverGray-VYLT,#d2d2ca,210,210,202
3750,AntiqueBlue-VYDK,#1d4552,29,69,82
3078,GoldenYellow-VYLT,#fcf6b6,252,246,182
3752,AntiqueBlue-VYLT,#bac9cc,186,201,204
3325,BabyBlue-LT,#adcde7,173,205,231
3753,AntiqueBlue-ULTVYLT,#d9e6ec,217,230,236
3326,Rose-LT,#f9979c,249,151,156
3755,BabyBlue(?),#81a5d8,129,165,216
3328,Salmon-DK,#be444a,190,68,74
3756,BabyBlue,#e9f4fa,233,244,250
3340,Apricot-MED,#fd6b4f,253,107,79
3760,Wedgewood-MED,#467293,70,114,147
3341,Apricot,#fd8e78,253,142,120
3761,SkyBlue-LT,#b1d0df,177,208,223
3345,HunterGreen-DK,#40552e,64,85,46
3765,PeacockBlue-VYDK,#175e78,23,94,120
3346,HunterGreen,#56743b,86,116,59
3766,PeacockBlue-LT,#4b8aa1,75,138,161
3347,YellowGreen-MED,#6d9646,109,150,70
3768,GrayGreen-DK,#4c605f,76,96,95
3348,YellowGreen-LT,#bedf74,190,223,116
3770,Tawny-VYLT,#fef1d8,254,241,216
3350,DustyRose-ULTDK,#aa3949,170,57,73
3771,Peach-DK,#e8ac9b,232,172,155
3354,DustyRose-LT,#efa5ac,239,165,172
3772,DesertSand-VYDK,#995744,153,87,68
3362,PineGreen-DK,#49523c,73,82,60
3773,DesertSand-MED,#cf866d,207,134,109
3363,PineGreen-MED,#617451,97,116,81
3774,DesertSand-VYLT,#f3cfb4,243,207,180
3364,PineGreen,#8e9b6d,142,155,109
3776,Mahogany-LT,#c96444,201,100,68
3371,BlackBrown,#36220e,54,34,14
3777,TerraCotta-VYDK,#922f25,146,47,37
3607,Plum-LT,#d94c9d,217,76,157
3778,TerraCotta-LT,#d2705c,210,112,92
3608,Plum-VYLT,#ec81be,236,129,190
3779,TerraCotta-ULTVYLT,#f2ab95,242,171,149
3609,Plum-ULTLT,#f6b0df,246,176,223
3781,MochaBrown-DK,#593f2b,89,63,43
3685,Mauve-VYDK,#79263b,121,38,59
3782,MochaBrown-LT,#b69d80,182,157,128
3687,Mauve,#b5455d,181,69,93
3787,BrownGray-DK,#62524c,98,82,76
3688,Mauve-MED,#dc7c86,220,124,134
3790,BeigeGray-ULTDK,#6d5a4b,109,90,75
3689,Mauve-LT,#f8bbc8,248,187,200
3799,PewterGray-VYDK,#39393d,57,57,61
3705,Melon-DK,#f2494f,242,73,79
3801,Melon-VYDK,#e4353d,228,53,61
3706,Melon-MED,#fd6e70,253,110,112
3802,AntiqueMauve-VYDK,#672a33,103,42,51
3708,Melon-LT,#fda0ae,253,160,174
3803,Mauve-DK,#872a43,135,42,67
3712,Salmon-MED,#d95d5d,217,93,93
3804,CyclamenPink-DK,#ce2b63,206,43,99
3713,Salmon-VYLT,#fdd5d0,253,213,208
3805,CyclamenPink,#df3c73,223,60,115
3716,DustyRose-VYLT,#fcafb9,252,175,185
3806,CyclamenPink-LT,#f15a91,241,90,145
3721,ShellPink-DK,#933b3d,147,59,61
3807,CornflowerBlue,#4b599e,75,89,158
3722,ShellPink-MED,#a04b4c,160,75,76
3808,Turquoise-ULTVYDK,#03535c,3,83,92
3726,AntiqueMauve-DK,#95565c,149,86,92
3809,Turquoise-VYDK,#136a75,19,106,117
3727,AntiqueMauve-LT,#da9ea6,218,158,166
3810,Turquoise-DK,#2d8d98,45,141,152
3811,Turquoise-VYLT,#a8e2e5,168,226,229
3839,LavenderBlue-MED,#7a7ec5,122,126,197
3812,Seagreen-VYDK,#07a184,7,161,132
3840,LavenderBlue-LT,#b2bdea,178,189,234
3813,BlueGreen-LT,#86c3ab,134,195,171
3841,BabyBlue-PALE,#d9eaf2,217,234,242
3814,Aquamarine,#0b8673,11,134,115
3842,Wedgewood-DK,#06506a,6,80,106
3815,CeladonGreen-DK,#437259,67,114,89
3843,ElectricBlue,#28a3de,40,163,222
3816,CeladonGreen,#60937a,96,147,122
3844,BrightTurquoise-DK,#1f7fa0,31,127,160
3817,CeladonGreen-LT,#81c6a4,129,198,164
3845,BrightTurquoise-MED,#2badd1,43,173,209
3818,EmeraldGreen-ULTVYDK,#005d2e,0,93,46
3846,BrightTurquoise-LT,#5eccec,94,204,236
3819,MossGreen-LT,#ccc959,204,201,89
3847,TealGreen-DK,#186358,24,99,88
3820,Straw-DK,#dba53e,219,165,62
3848,TealGreen-MED,#207e72,32,126,114
3821,Straw,#ebbb52,235,187,82
3849,TealGreen-LT,#35b193,53,177,147
3822,Straw-LT,#f7d169,247,209,105
3850,BrightGreen-DK,#208b46,32,139,70
3823,Yellow-ULTPALE,#fef5cd,254,245,205
3851,BrightGreen-LT,#61bb84,97,187,132
3824,Apricot-LT,#fcae99,252,174,153
3852,Straw-VYDK,#e3a730,227,167,48
3825,Pumpkin-PALE,#fea370,254,163,112
3853,AutumnGold-DK,#ef8125,239,129,37
3826,GoldenBrown,#b16633,177,102,51
3854,AutumnGold-MED,#fbac56,251,172,86
3827,GoldenBrown-PALE,#eaa664,234,166,100
3855,AutumnGold-LT,#fddfa0,253,223,160
3828,HazelnutBrown,#aa7c43,170,124,67
3856,Mahogany-ULTVYLT,#fdbe8e,253,190,142
3829,OldGold-VYDK,#a7671d,167,103,29
3857,Rosewood-DK,#6a2f26,106,47,38
3830,TerraCotta,#a94138,169,65,56
3858,Rosewood-MED,#803a32,128,58,50
3831,Raspberry-DK,#c12b52,193,43,82
3859,Rosewood-LT,#ba7a6c,186,122,108
3832,Raspberry-MED,#e36370,227,99,112
3860,Cocoa,#896362,137,99,98
3833,Raspberry-LT,#ea8b96,234,139,150
3861,Cocoa-LT,#ac8583,172,133,131
3834,Grape-DK,#6a2258,106,34,88
3862,MochaBeige-DK,#6e492a,110,73,42
3835,Grape-MED,#924d78,146,77,120
3863,MochaBeige-MED,#94725d,148,114,93
3836,Grape-LT,#c597b9,197,151,185
3864,MochaBeige-LT,#c9aa92,201,170,146
3837,Lavender-ULTDK,#8a2a8f,138,42,143
3865,WinterWhite,#fffdf9,255,253,249
3838,LavenderBlue-DK,#606bad,96,107,173
3866,MochaBrown-ULTVYLT,#f0e6d7,240,230,215
